INFO  2020-12-04 09:57:56,334 Logging.scala:35 - Stopped redirecting UI
INFO  2020-12-04 09:57:56,343 Logging.scala:35 - Awaiting LOCAL_QUORUM for Spark Master recovery storage
DEBUG 2020-12-04 09:57:56,488 ServiceRunner.java:216 - Service SPARK-MASTER changing state: NOT_STARTED -> STARTING
DEBUG 2020-12-04 09:57:56,491 ServiceRunner.java:206 - Service SPARK-MASTER set state: NOT_STARTED -> STARTING
INFO  2020-12-04 09:57:56,500 Logging.scala:35 - Starting SPARK-MASTER service...
INFO  2020-12-04 09:57:56,532 Logging.scala:54 - Changing view acls to: dse
INFO  2020-12-04 09:57:56,534 Logging.scala:54 - Changing modify acls to: dse
INFO  2020-12-04 09:57:56,542 Logging.scala:54 - Changing view acls groups to: 
INFO  2020-12-04 09:57:56,546 Logging.scala:54 - Changing modify acls groups to: 
INFO  2020-12-04 09:57:56,561 Logging.scala:54 - SecurityManager: authentication disabled; ui acls disabled; users  with view permissions: Set(dse); groups with view permissions: Set(); users  with modify permissions: Set(dse); groups with modify permissions: Set()
INFO  2020-12-04 09:57:56,703 Logging.scala:54 - Successfully started service 'sparkMaster' on port 7077.
DEBUG 2020-12-04 09:57:57,288 ServiceRunner.java:216 - Service SPARK-MASTER changing state: STARTING -> RUNNING
DEBUG 2020-12-04 09:57:57,289 ServiceRunner.java:206 - Service SPARK-MASTER set state: STARTING -> RUNNING
INFO  2020-12-04 09:57:57,290 Logging.scala:35 - SPARK-MASTER service is running
INFO  2020-12-07 10:16:42,626 Logging.scala:35 - SPARK-MASTER service finished
DEBUG 2020-12-07 10:16:42,663 ServiceRunner.java:198 - Service SPARK-MASTER state is: SHUTTING_DOWN
DEBUG 2020-12-07 10:16:42,665 ServiceRunner.java:198 - Service SPARK-MASTER state is: SHUTTING_DOWN
DEBUG 2020-12-07 10:16:42,667 ServiceRunner.java:220 - Service SPARK-MASTER FAILED changing state: NOT_STARTED -> SHUTTING_DOWN
DEBUG 2020-12-07 10:16:42,668 ServiceRunner.java:220 - Service SPARK-MASTER FAILED changing state: STARTING -> SHUTTING_DOWN
DEBUG 2020-12-07 10:16:42,669 ServiceRunner.java:220 - Service SPARK-MASTER FAILED changing state: RUNNING -> SHUTTING_DOWN
